page_name,date,views
Climate change,2021-09-17,490
Climate change,2021-09-19,461
Climate change,2021-09-22,1232
Climate change,2021-09-23,2861
Climate change,2021-09-24,1434
Climate change,2021-09-25,1120
Climate change,2021-09-26,996
Climate change,2021-09-27,1048
Climate change,2021-09-28,873
Climate change,2021-09-29,1058
Climate change,2021-09-30,981
Climate change,2021-10-01,866
Climate change,2021-10-02,824
Climate change,2021-10-03,811
Climate change,2021-10-04,793
Climate change,2021-10-05,793
Climate change,2021-10-06,790
Climate change,2021-10-07,736
Climate change,2021-10-08,577
Climate change,2021-10-09,572
Climate change,2021-10-10,562
Climate change,2021-10-11,709
Climate change,2021-10-12,718
Climate change,2021-10-13,874
Climate change,2021-10-14,795
Climate change,2021-10-15,727
Climate change,2021-10-16,567
Climate change,2021-10-17,671
Climate change,2021-10-18,915
Climate change,2021-10-19,934
Climate change,2021-10-20,869
Climate change,2021-10-21,862
Climate change,2021-10-22,707
Climate change,2021-10-23,668
Climate change,2021-10-24,927
Climate change,2021-10-25,913
Climate change,2021-10-26,773
Climate change,2021-10-27,798
Climate change,2021-10-28,1409
Climate change,2021-10-29,775
Climate change,2021-10-30,730
Climate change,2021-10-31,1551
Climate change,2021-11-01,1286
Climate change,2021-11-02,1497
Climate change,2022-03-29,1210
Climate change,2022-04-16,1402
Climate change,2022-04-21,4021
Climate change,2022-04-22,12401
Climate change,2023-02-08,116
Climate change,2023-02-09,128
Climate change,2023-02-10,164
Climate change,2023-02-11,99
Climate change,2023-02-12,123
Climate change,2023-02-13,172
Climate change,2023-02-14,118
Climate change,2023-02-15,180
Climate change,2023-02-16,188
Climate change,2023-02-17,145
Climate change,2023-02-20,162
Climate change,2023-02-21,181
Climate change,2023-02-22,136
Climate change,2023-02-23,148
Climate change,2023-02-24,96
Climate change,2023-02-26,92
Climate change,2023-03-03,114
Climate change,2023-03-04,132
Climate change,2023-03-05,153
Climate change,2023-03-06,121
Climate change,2023-03-07,133
Climate change,2023-03-08,118
Climate change,2023-03-09,116
Climate change,2023-03-10,100
Climate change,2023-03-11,130
Climate change,2023-03-12,132
Climate change,2023-03-13,226
Climate change,2023-03-14,134
Climate change,2023-03-15,178
Climate change,2023-03-16,189
Climate change,2023-03-17,129
Climate change,2023-03-19,1201
Climate change,2023-03-20,121
Climate change,2023-03-21,1237
Climate change,2023-03-22,1250
Climate change,2023-03-23,92
Climate change,2023-03-27,119
Climate change,2023-03-28,125
Climate change,2023-03-29,128
Climate change,2023-03-30,120
Climate change,2023-03-31,115
Climate change,2023-04-02,1177
Climate change,2023-04-03,100
Climate change,2023-04-04,139
Climate change,2023-04-05,122
Climate change,2023-04-21,386
Climate change,2023-04-22,1576
Climate change,2023-04-23,104
Climate change,2023-04-26,134
Climate change,2023-04-27,114
Climate change,2023-04-28,94
Climate change,2023-05-02,128
Climate change,2023-05-03,95
Climate change,2023-05-05,99
Climate change,2023-05-08,117
Climate change,2023-05-09,132
Climate change,2023-05-10,135
Climate change,2023-05-11,152
Climate change,2023-05-12,90
Climate change,2023-05-15,97
Climate change,2023-05-16,168
Climate change,2023-05-17,171
Climate change,2023-05-18,205
Climate change,2023-05-19,145
Climate change,2023-05-21,118
Climate change,2023-05-22,162
Climate change,2023-05-23,153
Climate change,2023-05-24,172
Climate change,2023-05-25,173
Climate change,2023-05-26,198
Climate change,2023-05-27,95
Climate change,2023-05-28,145
Climate change,2023-05-29,200
Climate change,2023-05-30,156
Climate change,2023-05-31,147
Climate change,2023-06-01,186
Climate change,2023-06-02,97
Climate change,2023-06-04,90
Climate change,2023-06-06,141
Climate change,2023-06-07,113
Climate change,2023-06-08,128
Climate change,2023-06-09,125
Climate change,2023-06-12,120
Climate change,2023-06-13,129
Climate change,2023-06-15,117
Climate change,2023-06-20,129
Climate change,2023-06-21,97
Climate change,2023-06-23,112
Climate change,2023-07-05,90
Climate change,2023-07-10,96
Climate change,2023-07-11,128
Climate change,2023-07-19,111
Climate change,2023-07-24,114
Climate change,2023-07-25,144
Climate change,2023-07-26,145
Climate change,2023-07-27,118
Climate change,2023-07-28,199
Climate change,2023-07-29,90
Climate change,2023-07-30,96
Climate change,2023-07-31,140
Climate change,2023-08-01,147
Climate change,2023-08-02,126
Climate change,2023-08-03,134
Climate change,2023-08-04,168
Climate change,2023-08-07,144
Climate change,2023-08-08,162
Climate change,2023-08-09,141
Climate change,2023-08-10,132
Climate change,2023-08-11,95
Climate change,2023-08-13,92
Climate change,2023-08-14,122
Climate change,2023-08-15,109
Climate change,2023-08-16,128
Climate change,2023-08-17,142
Climate change,2023-08-18,131
Climate change,2023-08-19,91
Climate change,2023-08-21,130
Climate change,2023-08-22,127
Climate change,2023-08-23,151
Climate change,2023-08-24,100
Climate change,2023-08-25,95
Climate change,2023-08-28,116
Climate change,2023-08-29,123
Climate change,2023-08-30,129
Climate change,2023-08-31,117
Climate change,2023-09-02,100
Climate change,2023-09-04,143
Climate change,2023-09-05,125
Climate change,2023-09-06,135
Climate change,2023-09-07,141
Climate change,2023-09-10,100
Climate change,2023-09-11,93
Climate change,2023-09-12,103
Climate change,2023-09-14,124
Climate change,2023-09-18,111
Climate change,2023-09-19,152
Climate change,2023-09-20,93
Climate change,2023-09-21,103
Climate change,2023-10-03,816
Climate change,2023-10-04,775
Climate change,2023-10-05,92
Climate change,2023-10-08,93
Climate change,2023-10-11,129
Climate change,2023-10-12,103
Climate change,2023-10-17,111
Climate change,2023-10-18,103
Climate change,2023-10-19,115
Climate change,2023-10-20,117
Climate change,2023-10-23,128
Climate change,2023-10-24,125
Climate change,2023-10-30,105
Climate change,2023-11-01,103
Climate change,2023-11-03,114
Climate change,2023-11-12,95
Climate change,2023-11-20,108
Climate change,2023-11-29,108
Climate change,2023-12-02,103
Climate change,2023-12-13,105
Climate change,2024-01-20,98
Climate change,2024-02-08,106
Climate change,2024-02-13,90
Climate change,2024-02-15,111
Climate change,2024-02-19,114
Climate change,2024-02-21,100
Climate change,2024-02-22,112
Climate change,2024-02-26,101
Climate change,2024-02-27,113
Climate change,2024-02-28,97
Climate change,2024-02-29,138
Climate change,2024-03-01,97
Climate change,2024-03-04,110
Climate change,2024-03-05,125
Climate change,2024-03-06,113
Climate change,2024-03-07,113
Climate change,2024-03-08,101
Climate change,2024-03-12,134
Climate change,2024-03-13,100
Climate change,2024-03-14,100
Climate change,2024-03-15,107
Climate change,2024-03-18,90
Climate change,2024-03-20,105
Climate change,2024-03-21,104
Climate change,2024-03-22,109
Climate change,2024-03-25,109
Climate change,2024-03-26,116
Climate change,2024-03-27,96
Climate change,2024-03-28,98
Climate change,2024-03-29,94
Climate change,2024-04-02,97
Climate change,2024-04-03,175
Climate change,2024-04-09,96
Climate change,2024-04-16,92
Climate change,2024-04-18,113
Climate change,2024-04-22,95
Climate change,2024-04-29,106
Climate change,2024-04-30,123
Climate change,2024-05-01,136
Climate change,2024-05-07,96
Climate change,2024-05-09,127
Climate change,2024-05-12,92
Climate change,2024-05-13,90
Climate change,2024-05-21,90
Climate change,2024-05-23,105
Climate change,2024-05-28,96
Climate change,2024-05-29,108
Climate change,2024-05-30,101
Climate change,2024-06-02,91
Climate change,2024-06-06,109
Climate change,2024-06-12,114
Climate change,2024-06-13,97
Climate change,2024-06-20,91
Climate change,2024-06-24,100
Climate change,2024-06-27,114
Climate change,2024-06-28,102
Climate change,2024-07-11,101
Climate change,2024-07-23,106
Climate change,2024-07-24,91
Climate change,2024-08-01,92
Climate change,2024-08-05,97
Climate change,2024-08-06,108
Climate change,2024-08-13,99
Climate change,2024-08-14,102
Climate change,2024-08-15,121
Climate change,2024-08-19,94
Climate change,2024-08-20,96
Climate change,2024-08-26,128
Climate change,2024-08-27,101
Climate change,2024-08-29,92
Climate change,2024-09-01,91
Climate change,2024-09-03,124
Climate change,2024-09-04,146
Climate change,2024-09-05,108
Climate change,2024-09-08,152
Climate change,2024-09-09,268
Climate change,2024-09-10,165
Climate change,2024-09-11,123
Climate change,2024-09-12,114
Climate change,2024-09-13,119
Climate change,2024-09-19,97
Climate change,2024-10-15,99
Climate change,2024-10-17,169
Climate change,2024-10-18,110
Climate change,2024-10-22,123
Climate change,2024-10-23,99
Climate change,2024-10-25,123
Climate change,2024-10-29,115
Climate change,2024-11-01,123
Climate change,2024-11-05,100
Climate change,2024-11-06,158
Climate change,2024-11-07,105
Climate change,2024-11-08,98
Climate change,2024-11-12,168
Climate change,2024-11-19,99
Climate change,2024-11-20,133
Climate change,2024-11-21,101
Climate change,2024-11-25,92
Climate change,2024-11-27,93
Climate change,2024-12-05,120
Climate change,2025-01-11,105
Climate change,2025-01-12,104
Climate change,2025-01-14,91
Climate change,2025-01-23,94
Climate change,2025-02-04,99
Climate change,2025-02-12,109
Climate change,2025-02-21,90
Climate change,2025-02-25,101
Climate change,2025-02-26,128
Climate change,2025-02-27,159
Climate change,2025-03-03,108
Climate change,2025-03-04,104
Climate change,2025-03-07,129
Climate change,2025-03-13,104
Climate change,2025-03-17,94
Climate change,2025-03-18,108
Climate change,2025-03-19,112
Climate change,2025-03-20,121
Climate change,2025-03-21,128
Climate change,2025-03-24,104
Climate change,2025-03-27,101
Climate change,2025-04-01,95
Climate change,2025-04-03,104
Climate change,2025-04-22,92
Climate change,2025-04-28,132
Climate change,2025-04-29,103
Climate change,2025-04-30,104
Climate change,2025-05-01,100
Climate change,2025-05-07,130
Climate change,2025-05-08,122
Climate change,2025-05-09,129
Climate change,2025-05-14,104
Climate change,2025-05-15,101
Climate change,2025-05-16,95
Climate change,2025-05-20,135
Climate change,2025-05-21,102
Climate change,2025-05-22,136
Climate change,2025-05-30,90
Climate change,2025-06-03,116
Climate change,2025-06-17,117
Climate change,2025-06-25,121
Climate change,2025-06-26,90
Climate change,2025-07-15,93
Climate change,2025-07-22,102
Climate change,2025-07-24,230
Climate change,2025-07-25,136
Climate change,2025-07-28,100
Climate change,2025-07-29,104
Climate change,2025-07-30,135
Climate change,2025-08-04,133
Climate change,2025-08-11,107
Climate change,2025-08-12,97
Climate change,2025-08-13,97
Climate change,2025-08-14,91
Climate change,2025-08-15,95
Climate change,2025-08-19,140
Climate change,2025-08-20,135
Climate change,2025-08-21,101
Climate change,2025-08-26,140
Climate change,2025-09-01,95
Climate change,2025-09-08,132
Climate change,2025-09-09,110
Climate change,2025-09-10,90
Climate change,2025-09-12,101
Climate change,2025-09-16,115
Climate change,2025-10-15,110
Climate change,2025-10-20,103
Climate change,2025-10-27,118
Climate change,2025-10-28,99
Climate change,2025-10-29,110
Climate change,2025-10-30,116
Climate change,2025-11-03,92
Climate change,2025-11-05,95
Climate change,2025-11-07,104
Climate change,2025-11-10,97
Climate change,2025-11-17,106
Climate change,2025-12-01,97
Climate change,2026-02-06,90
